system:index,Daytime,.geo
0,-1.5913364918704431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.16241248319558]}"
1,-2.45742986255204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.159717537343226]}"
2,-3.1763122154932333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88615804996354,19.159717537343226]}"
3,-2.4482809363148945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83225913291639,19.154327645638503]}"
4,-1.513166557229944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.154327645638503]}"
5,-3.1763122154932333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88885299581591,19.154327645638503]}"
6,-0.5841632892560327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.15163269978615]}"
7,-0.6059933546155563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8376490246211,19.14893775393378]}"
8,-0.5841632892560327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.14893775393378]}"
9,-0.7644678050017504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92658223774893,19.14893775393378]}"
10,-1.5148457153796713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82686924121165,19.146242808081425]}"
11,-1.5148457153796713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83495407876873,19.146242808081425]}"
12,-0.6059933546155563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.146242808081425]}"
13,-0.5841632892560327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.146242808081425]}"
14,-1.304685698219636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85920859143997,19.146242808081425]}"
15,-2.4472571267910794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86729342899704,19.146242808081425]}"
16,-0.6059933546155563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.14354786222907]}"
17,-2.4472571267910794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.14354786222907]}"
18,-0.7644678050017504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93197212945364,19.14354786222907]}"
19,-4.148342789666209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.81878440365458,19.140852916376716]}"
20,-1.3824100654439988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8376490246211,19.140852916376716]}"
21,-0.7850001555341137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.140852916376716]}"
22,-0.7850001555341137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.140852916376716]}"
23,-3.099506766040726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92388729189656,19.140852916376716]}"
24,-1.1762513547852862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92658223774893,19.140852916376716]}"
25,-5.246230596501398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.81339451194987,19.138157970524347]}"
26,-4.148342789666209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.81878440365458,19.138157970524347]}"
27,-1.3824100654439988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8376490246211,19.138157970524347]}"
28,-0.972567723101669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.138157970524347]}"
29,-0.7850001555341137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.138157970524347]}"
30,-2.580808013812522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88615804996354,19.138157970524347]}"
31,-3.2551777617116855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.138157970524347]}"
32,-1.1762513547852862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92927718360127,19.138157970524347]}"
33,-1.036424514958476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94275191286309,19.138157970524347]}"
34,-4.148342789666209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82147934950694,19.135463024671992]}"
35,-2.806892047426011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83225913291639,19.135463024671992]}"
36,-0.7850001555341137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.135463024671992]}"
37,-1.0807809363148877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.135463024671992]}"
38,-1.0807809363148877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.135463024671992]}"
39,-2.580808013812522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88615804996354,19.135463024671992]}"
40,-4.222320618854589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.135463024671992]}"
41,-4.222320618854589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.135463024671992]}"
42,-4.6463458289386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91041256263478,19.135463024671992]}"
43,-3.8040762579523246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82417429535931,19.132768078819637]}"
44,-0.8985136690476239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.132768078819637]}"
45,-0.8985136690476239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.132768078819637]}"
46,-2.0993761744101462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87537826655412,19.132768078819637]}"
47,-3.8463682379022046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.95083675042017,19.132768078819637]}"
48,-2.230225380759329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.130073132967283]}"
49,-1.2734425452922622,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.130073132967283]}"
50,-0.8985136690476239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.130073132967283]}"
